State,www.collierscanada.com,www.ceocouncil.ca,www.bmonesbittburns.com,bmonb.com,player.vimeo.com,www.youtube.com,www.theglobeandmail.com,pm.gc.ca,www.bmo.com,www.ipsos.ca,ceocouncil.us2.list-manage.com,dublincore.org,ceocouncil.us2.list-manage1.com,purl.org,webcasts.welcome2theshow.com,www.w3.org,issuu.com,gmpg.org,www.ipolitics.ca,www.sitemaps.org,other
13/09,32612,0,0,0,0,58,0,0,0,0,0,0,0,0,0,1,0,0,0,2,4
13/11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14/01,0,5042,0,0,0,8,5,4,0,3,3,3,3,3,3,2,3,2,2,0,25
14/04,0,0,145,15,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14/05,0,0,117,13,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14/06,0,0,125,13,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14/07,0,0,117,13,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14/08,0,0,115,13,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14/09,0,0,119,13,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14/10,0,0,116,13,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14/11,0,0,118,14,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14/12,0,0,120,14,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15/01,0,0,118,14,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15/02,0,0,120,14,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15/03,0,0,129,14,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15/04,0,0,119,14,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15/05,0,0,117,14,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15/06,0,0,120,14,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15/07,0,0,119,14,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15/08,0,0,125,14,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15/09,0,0,120,14,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15/10,0,0,117,14,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15/11,0,0,125,0,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
15/12,0,0,120,0,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
16/01,0,0,117,0,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
16/02,0,0,119,0,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
16/03,0,0,124,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16/04,0,0,111,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
