State,blog.mastermaq.ca,daveberta.ca,www.albertaliberal.com,www.threehundredeight.com,albertadiary.ca,www.bcndp.ca,www.albertandp.ca,www.libbydavies.ca,www.hsaa.ca,libbydavies.ca,hsaa.ca,www.vulcancounty.ab.ca,www.ndp.ca,parklandinstitute.ca,threehundredeight.blogspot.com,www.insidehighered.com,socialecology.uci.edu,www.huliq.com,www.takepart.com,www.vanhorne.info,other
11/02,0,0,512,0,0,0,857,0,0,0,0,0,0,0,0,0,0,0,0,0,5000
11/03,0,0,478,0,0,0,3128,0,0,0,0,0,0,0,0,0,0,0,0,0,86283
11/04,0,0,151,0,0,0,2500,0,0,0,0,0,0,0,0,0,0,0,0,0,16856
11/05,0,0,340,0,0,0,2496,0,0,0,0,0,0,0,0,0,0,0,0,0,17499
11/06,0,0,534,0,0,0,3302,0,0,0,0,0,0,0,0,0,0,0,0,0,40699
11/07,0,0,248,0,0,0,2855,0,0,0,0,0,0,0,0,0,0,0,0,0,191398
11/08,0,0,349,0,0,0,2759,0,0,0,0,0,0,0,0,0,0,0,0,0,9787
11/09,0,0,439,0,0,0,168796,0,0,0,0,0,0,0,0,0,0,0,0,0,29411
11/10,0,0,265,0,0,0,443445,0,0,0,0,0,0,0,0,0,0,0,0,0,28053
11/11,0,0,160,0,0,0,338209,0,0,0,0,0,0,0,0,0,0,0,0,3,28805
11/12,0,0,105,0,0,0,70178,0,0,0,0,0,0,0,0,0,0,0,0,2,77297
12/01,0,1,515,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,28486
12/02,0,1,810,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,53782
12/03,4,91858,1814,0,1,4,91,3,0,8,1,4,7,3,72056,6,4,0,0,1,150831
12/04,30,829953,5946,0,0,30,3,30,0,60,0,30,57,63,663971,60,30,0,0,1,718657
12/05,1,118836,348,0,0,1,0,2,0,2,0,1,3,2,41129,4,1,0,0,1,29339
12/06,1,7618,460,0,0,1,0,1,0,2,0,1,2,1,23761,2,1,0,0,2,16292
12/07,1,6257,496,49091,1,1,0,1,0,2,0,1,2,1,1,2,1,0,0,1,17341
12/08,1,6268,1006,49857,1,2,0,1,0,2,0,1,2,1,0,2,1,0,0,1,15157
12/09,1,6427,360,50859,1,2,0,1,0,2,0,1,2,1,0,2,1,0,0,1,21174
12/10,100875,6726,93,51929,29156,2,6,1,0,2,0,1,71869,4,2,2,1,3,0,2,55546
12/11,109377,6989,4794,52957,48495,2,0,1,0,2,0,1,106182,16,1,2,1,5,0,2,54432
12/12,99841,7024,3267,53738,40007,2,0,1,0,2,0,1,109471,13,0,2,1,4,0,2,44673
13/01,97839,7136,10062,54129,51815,2,1,1,1,2,1,1,98237,17,0,2,1,5,2,2,55050
13/02,66863,7004,4511,55735,84424,2,0,1,3,2,1,1,93680,13,0,2,1,4,2,2,327759
13/03,49624,7072,2817,54305,61373,2,0,1,3,2,1,1,111088,13,0,2,1,4,2,1,94347
13/04,35125,7303,142208,54980,48915,2,0,1,1,2,3,1,72026,13,0,2,1,4,2,2,167279
13/05,86040,12267,375217,16283,54769,2,11,2,3,2,3,1,98764,20,2,3,1,5,2,3,237953
13/06,71399,12612,63500,16764,41115,2,0,2,3,2,3,1,59722,17,0,2,1,4,42,3,161730
13/07,61958,10982,172021,17133,29970,2,0,2,3,2,3,1,1935,17,0,2,1,4,43,3,96184
13/08,100895,10562,465640,17474,37807,2,0,2,3,2,3,1,2417,21,0,0,1,5,0,2,80707
13/09,84358,10453,385083,17003,30616,2,0,2,3,2,3,1,1934,17,0,0,1,4,0,0,69093
13/10,80024,10267,188555,18129,36968,2,0,2,3,2,3,1,2410,25,0,2,1,37,44,0,75014
13/11,119301,10255,113412,18886,33741,2,9,2,3,2,3,1,1930,20,0,2,1,9,44,0,79473
13/12,107170,10396,110302,19329,33167,2,26,2,3,2,3,1,1935,21,2,2,1,31,43,3,96590
14/01,81550,21819,72053,19678,41719,4,140,4,6,4,6,2,2270,25,2,4,2,23,86,3,115365
14/02,97944,43183,128,20242,34183,8,0,8,12,8,12,4,1795,20,0,8,4,8,174,9,108495
14/03,122509,43850,135,21194,35022,8,0,8,12,8,12,4,1787,20,0,8,4,8,176,10,139255
14/04,109808,44466,255,22283,35829,67302,0,65783,49474,65474,106884,4,1755,20,0,56720,4,65023,146753,10,500112
14/05,137232,51863,391,23228,45863,86221,1,84058,63291,81946,65777,5,2215,45,0,70202,5,85347,238802,13,587986
14/06,108498,45681,316,28348,37724,73119,0,69861,65120,69108,65401,53046,1775,40,0,58555,4,69922,189725,10,339329
14/07,112906,52087,1165,25621,44736,82464,0,79400,79211,78184,79710,82696,2243,57088,1,67629,5,80564,115823,13,432542
14/08,137290,50291,266,32,43264,112012,0,105912,103828,104989,104309,106894,1822,65479,0,185192,4,106708,0,11,479214
14/09,108130,45585,261,51,40626,66351,1,62864,63902,62497,64498,61757,1811,60359,3,53997,72895,63727,0,11,1032872
14/10,123881,57938,322,70,51642,97658,0,88435,87474,87241,88088,84783,2305,74365,0,77811,100796,88422,0,13,1442610
14/11,103743,37330,264,54,32793,70442,2,62672,60652,64601,60162,66159,1813,50246,0,55793,72573,63780,0,11,1467446
14/12,96592,47491,257,28557,42956,53421,0,47107,46040,46613,45222,50488,1868,48274,0,61698,55823,49629,0,275941,1289790
15/01,154727,58224,354,29168,4964,101330,0,95672,91467,91410,89052,97716,2295,87413,0,91144,107503,21550,0,217948,1267237
15/02,125124,45398,394,29942,420,82945,1,81182,82144,74484,81725,82541,1876,38729,0,0,88965,0,0,157625,971267
15/03,125247,46490,434,30457,416,83692,1,82060,82532,75598,80586,83948,1882,55638,0,0,91708,0,0,13669,1105693
15/04,131927,52511,631,31520,518,74068,666,84658,84844,74774,61701,87324,2322,58070,0,0,92331,0,0,13670,1267898
15/05,152323,53467,596,34444,2822,42698,1153,19901,38479,19412,0,41317,493,205835,0,0,44611,0,0,4,574850
15/06,127034,47740,633,35598,3629,28,929,8,72,8,0,16,60,0,0,0,4,0,0,5,91456
15/07,95552,24212,447,36352,2656,14,614,4,36,4,0,8,32,0,0,0,2,0,0,5,71918
15/08,32186,12223,149,36952,909,7,212,2,18,2,0,4,16,0,0,0,2,0,0,3,32740
15/09,32134,12346,223,42136,895,7,216,2,18,2,0,4,15,0,0,0,1,0,0,3,32986
15/10,31249,22873,237,40039,910,6,211,2,18,2,0,4,11,1,0,0,1,0,0,3,37963
15/11,32300,22988,252,41110,908,6,220,2,18,2,0,18,16,0,0,0,1,0,0,0,29636
15/12,43801,26655,260,41934,900,6,217,2,19,2,0,18,16,0,0,0,1,0,0,0,39837
16/01,39414,26600,241,43747,907,6,231,2,19,0,0,17,22,10,0,0,1,0,0,0,45994
16/02,36977,26711,269,43854,907,6,237,2,19,2,0,17,25,0,0,0,1,0,0,0,45670
16/03,37094,23776,223,44273,908,6,243,2,19,2,0,17,25,333,0,0,1,0,0,0,48997
16/04,27995,23890,290,43033,907,7,371,2,19,2,0,17,25,1,0,0,1,0,0,0,53180
