State,www.twu-canada.ca,www.psac-afpc.org,www.bcfed.com,www.ona.org,www.una.ab.ca,cupe.ca,www.aupe.org,www.afl.org,www.heu.org,www.ufcw.ca,www.nbnu.ca,www.opffa.org,www.bcgeu.bc.ca,www.hsabc.org,www.pipsc.ca,www.osstf.on.ca,www.csn.qc.ca,www.twu-stt.ca,www.nupge.ca,www.nbpea.nb.ca,other
06/03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2549
06/05,0,6303,1049,5951,0,53,2363,954,2,1166,0,0,515,0,4757,4665,9129,0,4112,0,41857
06/06,97050,20210,3038,15138,366,163,7161,2951,12681,3906,149,301,1549,9131,14376,14189,27481,0,12432,3490,153207
06/09,87808,6949,8948,3704,118,3,2476,1040,9403,1614,82,389,5725,4956,4970,4747,9246,0,4325,1829,48294
06/12,181386,6003,0,84258,117,6,2611,1059,24826,1855,2,600,515,5727,5203,2692,9489,0,4444,1821,50459
07/03,99215,7636,37718,54609,278,30,3367,1086,8766,1103,2,312,15358,6666,0,7732,28078,0,4599,1696,123476
07/06,40868,7945,16521,20089,43,45,2998,1129,9397,1439,2,330,15154,7267,0,7611,5973,0,4759,1768,48915
07/09,111750,7615,34660,60134,48,16,3203,1140,9958,1582,2,332,20985,7585,0,7651,36391,0,4886,1808,75009
07/12,282968,8051,35159,90196,13,8,3171,1165,28704,1720,2,85,15861,7813,0,8135,30588,0,5018,1947,103764
08/03,253072,8458,47813,148393,102,10,3102,1180,62999,1176,2,83,16965,8395,0,8872,29079,0,5161,2002,108289
08/06,298803,8811,24222,109228,194,10,3245,1195,92109,1564,2,6,18042,9306,0,8675,30608,0,5323,1996,105403
08/09,311318,9120,27390,83613,217,63759,3321,1188,62167,1900,2,6,18647,9690,0,8825,27158,0,5466,2030,146458
08/12,331357,9649,27433,93322,43,102570,3290,1190,121014,55242,2,6,22601,12277,0,11344,20689,0,5654,2065,63154
09/03,659410,19716,55206,111670,524,190652,6504,2392,868,87360,4,12,48072,25738,0,20450,42172,0,11954,2626,138257
09/06,157984,10662,26400,42971,154,41491,3295,1248,6,18876,2,6,25323,13329,0,11137,293,11714,6843,1339,47677
09/09,318680,4850,63723,72968,8366,68991,3326,1262,21,46648,2,6,26163,13774,0,11596,357,25004,7389,1359,54034
09/12,333070,10347,14751,87782,67880,25092,270,574,62,42149,0,0,11070,10104,0,4547,350,24030,7969,4,40374
10/03,342234,7017,32388,1203,55180,32664,23689,577,38,54480,0,0,10227,10446,0,3061,389,24978,8700,46555,40367
10/06,2526,5613,31707,1102,43379,0,28782,593,35,56154,1,0,15866,10752,111,4039,317,0,7760,71025,30327
10/09,2892,7155,98733,1632,193125,51802,9655,9711,433,54083,129085,0,16106,10941,1,4512,678,0,10978,60514,66235
10/12,0,5924,16291,2151,182222,34456,286148,8749,33906,5319,187947,0,21,27989,1,10800,205,0,8835,4,79569
11/09,0,4219,132083,2446,156091,35129,48000,88125,9200,3751,11648,0,0,12621,0,5022,525,0,16977,44689,71532
11/12,0,286948,133341,1939,0,23007,48833,87060,9244,3259,8496,0,17580,13025,0,4426,381,0,19187,28663,60180
12/03,0,276834,137517,2608,127970,30231,48908,86723,10099,4046,9159,0,14738,13702,0,5182,42,0,19640,32139,84691
12/06,0,265387,137506,3491,85812,15718,38918,83916,10308,7268,10177,0,15,14074,33787,4733,29,5387,16163,0,164957
12/09,62,147109,137538,4207,84139,13041,53592,79195,10486,6555,5459,813,0,14398,20076,3855,27,23866,19855,0,107905
12/12,61,147855,173,3675,141,22453,12059,69436,10928,5440,5018,57527,0,22428,19747,4321,92,23473,19533,0,132447
13/03,61,3792,156,3975,99,5592,10324,61974,5897,7418,5316,112006,0,21846,13671,3510,97,22541,17955,0,230587
13/06,61,3613,18,1794,102,39428,10296,61319,6143,10808,4426,74575,0,6100,32355,3568,36,16094,12989,0,167799
13/09,62,3347,18,1809,103,29454,9799,23465,6065,6789,4529,48824,0,6728,21007,4072,34,16948,0,0,158998
13/12,62,53,18,1798,107,22169,9907,1621,6211,5819,3,34991,0,6411,10980,3771,28,15147,0,0,211684
14/03,62,0,13,2125,105,17,10361,18291,6226,21224,24317,18035,0,6502,21897,5422,26,14343,0,0,220246
14/06,0,0,17,2111,107,14074,10635,2527,6337,7630,42306,22383,0,6508,22202,5725,26,13799,0,0,305472
14/09,0,0,0,2185,113,80,10464,18667,6416,17417,66849,2997,20350,6653,23957,8742,28,16293,0,0,218311
14/12,0,0,1,2150,107,7082,10778,10573,6481,8794,18,1986,8423,6443,13437,10919,29,8888,0,0,262590
15/03,0,0,0,2477,212,14801,11108,2140,6527,14301,0,9632,15139,7557,23365,14921,28,14687,0,0,297360
15/06,0,0,48,2930,116,17305,31776,3925,10017,14034,318,30548,11519,6167,23820,32267,44,15933,0,0,207971
15/09,0,0,171,2629,118,16242,32409,4112,10052,14955,167,3746,12303,6295,14844,22045,30,15165,0,0,222059
15/12,0,0,0,2801,114,16829,32820,5109,10138,15314,127,1505,82,14705,77093,14685,42,16189,18080,0,352980
16/03,0,0,0,1447,117,670,2769,3499,1066,1788,143,1151,1487,1692,1412,2709,17,0,1520,0,49381
16/06,0,0,0,2900,117,17015,1219,3914,10735,17664,45584,3787,15515,15246,3650,14193,23714,0,18996,0,266718
