State,news-centre.uwinnipeg.ca,www.youtube.com,www.facebook.com,mobile.twitter.com,www.uwinnipeg.ca,m.youtube.com,youtu.be,accounts.google.com,i.ytimg.com,s.youtube.com,libguides.uwinnipeg.ca,plus.google.com,wp.me,www.bing.com,bit.ly,en.wikipedia.org,ow.ly,i1.ytimg.com,www.youtube-nocookie.com,www.wunderground.com,other
13/08,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
13/11,0,85,0,0,24162,0,0,0,0,0,798,0,0,0,0,0,0,0,0,0,299
14/02,3097,1504,118131,7,20950,154,258,191,0,0,3456,123,989,778,963,217,435,116,11,146,9046
14/03,8592,6958,319644,14,33,829,1235,907,0,0,0,266,2669,2938,2128,1355,816,654,42,508,23746
14/04,9334,76,9,8,11,0,0,0,0,0,0,0,1356,0,0,0,0,0,0,0,33
14/05,10317,75,8,8,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27
14/06,10705,94,6,11,13,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,98
14/07,13597,119,0,12,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33
14/08,20782,802,6,12,10359,38,30,32,17,0,807,2,0,0,0,0,0,0,0,0,276
14/09,25679,237,6,15,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41
14/10,16781,474,8,47789,9638,22,30,56,20,0,646,1,0,0,0,0,0,0,0,0,335
14/11,21683,237,3,45138,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37
14/12,33028,173484,5,38,7602,23720,14032,14108,11490,0,623,2446,0,0,0,0,0,0,245,0,314
15/01,16597,234,0,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
15/02,11765,159608,4,6,7021,28632,13298,10649,10150,11351,620,1939,0,0,0,0,0,0,159,0,306
15/03,15542,106347,5,0,5540,19743,9265,9849,8296,9216,574,1375,0,0,0,0,0,0,212,0,294
15/04,24512,363,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31
15/05,23246,355,10,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48
15/06,27993,445,14,0,7,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,136
15/07,25391,359,6,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,141
15/08,23992,363,11,0,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,134
15/09,40527,460,6,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175
15/10,24657,360,9,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41
15/11,25013,357,12,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39
15/12,31555,460,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40
16/01,25393,355,12,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24
16/02,25618,365,3,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40
16/03,32400,457,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41
16/04,26168,377,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101
16/05,31363,441,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,192
16/06,28481,308,4,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136
16/07,23504,302,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167
16/08,37132,408,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,173
16/09,28993,428,8,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161
16/10,29309,440,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135
16/11,38366,570,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,219
