State,education.alberta.ca,ubiqcomputing.org,www.ubiqcomputing.org,www.education.alberta.ca,www.pdfonline.com,mediasmarts.ca,www.youtube.com,www.oecd.org,m.pdfonline.com,www.education.gov.ab.ca,www.lrc.education.gov.ab.ca,tradesecrets.alberta.ca,eae.alberta.ca,studyinalberta.ca,alberta.ca,ideas.education.alberta.ca,www.easypdfcloud.com,www.netera.ca,www.industrymailout.com,alis.alberta.ca,other
10/09,2,0,0,0,0,0,0,0,0,95,0,0,0,0,0,0,0,0,0,0,0
10/10,4,0,0,338,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,6
11/01,5,0,0,1041,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,1
11/04,3,1,0,370,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,7
11/07,3,0,0,251,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2
11/10,3,0,0,289,0,0,0,0,0,0,0,0,0,0,0,1,0,28,0,0,22
12/01,4,0,0,402,0,0,0,0,0,1,0,0,0,0,0,0,0,29,0,0,23
12/04,322,0,0,654,0,0,0,0,0,3,0,0,0,0,0,0,0,29,0,2,19
12/07,16056,0,0,322,0,1,4,0,0,71,1,0,24,0,12,17,0,0,0,20,205
12/10,12177,1,1,387,0,1,3,134,0,0,1,0,4,0,32,18,0,0,0,18,66
13/01,10219,13472,11953,416,0,1,5,4,0,1,1,75,4,0,19,7,0,0,0,5,78
13/03,9,0,0,7,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1
13/04,21613,0,0,592,0,1,5,71,0,0,1,64,4,15,11,7,0,0,20,5,52
13/07,3231,0,0,549,0,1,3,66,0,0,1,1,15,16,6,7,0,0,20,4,50
13/10,7849,0,0,354,0,2,14,2,0,0,2,1,27,16,9,8,0,0,2,4,74
13/12,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0
14/01,56,0,0,300,0,0,0,0,0,1,46,1,0,0,0,0,0,0,0,0,1
14/04,6371,0,0,302,0,1,3,2,0,0,98,61,15,16,5,7,0,0,44,3,129
14/07,56,0,0,243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
14/10,5605,0,0,196,0,620,1,1,0,0,0,0,20,16,5,7,0,0,0,4,121
15/01,497,0,0,309,0,572,4,1,0,1,0,0,0,0,0,0,0,0,0,1,53
15/04,5471,0,0,300,2104,1145,180,1,28,0,0,0,1,16,4,8,59,0,0,5,251
15/07,533,0,0,329,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,11
15/10,5054,0,0,0,677,0,104,0,19,0,0,0,1,16,3,8,27,0,0,9,159
16/01,2,0,0,0,309,0,85,0,212,0,0,0,0,0,0,0,2,0,0,0,46
