State,www.edmontonsocialplanning.ca,www.naho.ca,pussy-riot.livejournal.com,www.youtube.com,nrtee-trnee.ca,www.livejournal.com,maedchenmannschaft.net,diak-kuraev.livejournal.com,coppullockssgroup.pbworks.com,m.youtube.com,s.youtube.com,www.bbc.co.uk,accounts.google.com,www.fnsi-ispn.com,i.ytimg.com,www.aehs.ca,youtu.be,en.wikipedia.org,vk.com,mobile.twitter.com,other
12/05,0,18799,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,272
12/06,0,0,0,0,6007,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,417
12/08,0,14088,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150
12/09,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,645,0,0,0,0,77
12/11,0,0,0,0,0,0,0,0,1734,0,0,0,0,0,0,0,0,0,0,0,4
13/02,0,0,0,4,0,0,0,0,0,0,0,0,0,746,0,0,0,0,0,0,68
14/01,119321,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19
14/04,0,0,1004,491,0,87,658,131,0,18,0,45,45,0,0,0,19,9,20,4,3337
14/05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
14/06,71,0,500,976,0,93,567,216,0,11,4,27,52,0,0,0,21,13,20,244,4029
14/07,0,0,649,321,0,93,0,192,0,4,64,27,9,0,0,0,9,12,17,0,628
14/08,0,0,480,102,0,103,0,0,0,1,2,30,5,0,1,0,2,12,18,0,505
14/09,0,0,76,10,0,39,0,0,0,0,1,0,2,0,0,0,0,12,18,13,149
14/10,0,0,657,91,0,77,0,167,0,1,0,32,5,0,1,0,2,12,18,1,536
14/11,0,0,423,120,0,79,0,113,0,1,1,30,6,0,1,0,2,12,18,1,692
14/12,0,0,947,175,0,73,0,0,0,2,1,27,7,0,1,0,6,12,20,136,959
15/01,0,0,238,149,0,55,0,130,0,2,2,23,6,0,1,0,2,12,18,0,675
15/02,0,0,74,12,0,36,0,0,0,0,1,0,2,0,0,0,0,12,15,0,115
15/03,0,0,476,153,0,45,0,0,0,2,2,24,4,0,1,0,4,12,18,1,592
15/04,0,0,235,755,0,51,0,132,0,102,59,35,41,0,51,0,60,12,18,0,672
15/05,0,0,2033,728,0,309,0,847,0,96,55,37,38,0,48,0,56,26,18,0,878
15/06,1,0,1835,1679,0,209,784,0,0,162,90,41,81,0,80,0,93,26,23,0,3636
15/07,0,0,1825,721,0,360,0,0,0,100,57,36,37,0,50,0,58,26,17,0,663
15/08,0,0,1705,722,0,309,0,0,0,100,57,35,39,0,50,0,58,26,17,0,632
15/09,0,0,1441,846,0,263,0,0,0,104,59,35,43,0,52,0,62,26,19,0,831
15/10,0,0,1599,734,0,288,0,0,0,102,58,47,45,0,51,0,59,28,18,0,720
15/11,0,0,1871,681,0,338,0,0,0,118,66,47,49,0,59,0,0,27,17,0,702
15/12,0,0,1925,776,0,365,0,0,0,122,68,51,51,0,61,0,0,30,19,0,806
16/01,0,0,2079,666,0,360,0,0,0,120,68,51,45,0,60,0,0,30,17,0,913
16/02,0,0,2096,671,0,361,0,0,0,116,66,55,49,0,58,0,0,28,17,0,643
16/03,0,0,1686,785,0,323,0,0,0,122,67,58,49,0,61,0,0,28,19,0,595
16/04,0,0,1892,670,0,199,0,0,0,112,66,62,42,0,56,0,0,28,5,0,558
